category,county,town,ad_id,date_of_lead,leads,package_type
commercial,Dublin,Dublin 7,5540747,2017-12-06,1,Standard
commercial,Dublin,Kilmainham,5480864,2017-12-06,1,Standard
commercial,Dublin,Leopardstown,5452739,2017-12-06,2,Standard
commercial,Dublin,Park West,5484191,2017-12-06,1,Standard
commercial,Dublin,Santry,5533956,2017-12-07,1,Standard
commercial,Dublin,Ringsend,5512330,2017-12-08,1,Standard
commercial,Dublin,Foxrock,5470258,2017-12-10,1,Standard
commercial,Dublin,Clongriffin,528055,2017-12-11,1,Standard
commercial,Dublin,Dublin 1,5526299,2017-12-11,1,Standard
commercial,Dublin,Dublin 1,5526657,2017-12-11,1,Standard
commercial,Dublin,Dublin 1,5488746,2017-12-11,4,Standard
commercial,Dublin,Dublin 2,5526812,2017-12-11,1,Standard
commercial,Dublin,Clongriffin,528055,2017-12-12,1,Standard
commercial,Dublin,Dublin 2,5526812,2017-12-12,1,Standard
commercial,Dublin,Clongriffin,528055,2017-12-13,1,Standard
commercial,Dublin,Dublin 1,5526299,2017-12-13,1,Standard
commercial,Dublin,Dublin 7,5540747,2017-12-14,1,Standard
commercial,Dublin,Rathcoole,5447252,2017-12-15,1,Standard
commercial,Dublin,Dublin 2,5485919,2017-12-17,1,Standard
commercial,Dublin,Rathmines,5510836,2017-12-17,1,Standard
commercial,Dublin,Clongriffin,528055,2017-12-18,1,Standard
commercial,Dublin,IFSC,5401170,2017-12-18,1,Standard
commercial,Dublin,Rathmines,5510836,2017-12-18,1,Standard
commercial,Dublin,Santry,5394522,2017-12-18,1,Standard
commercial,Dublin,Clongriffin,528055,2017-12-19,1,Standard
commercial,Dublin,Dublin 2,5527660,2017-12-19,1,Standard
commercial,Dublin,Leopardstown,5452739,2017-12-19,1,Standard
commercial,Dublin,Dublin 2,5527660,2017-12-20,1,Standard
commercial,Dublin,Dublin 2,5526812,2017-12-20,2,Standard
commercial,Dublin,Park West,5484191,2017-12-20,1,Standard
commercial,Dublin,Dublin 2,5396087,2017-12-21,1,Standard
commercial,Dublin,Dublin 2,5319742,2017-12-21,1,Standard
commercial,Dublin,Rathmines,5510836,2017-12-21,1,Standard
commercial,Dublin,Dublin 1,5461344,2017-12-22,1,Standard
commercial,Dublin,Tyrrelstown,5527981,2017-12-23,1,Standard
commercial,Dublin,Finglas,5386355,2017-12-25,1,Standard
